[  144.967847] SCHED_LOG: pid=2369, nice=19, vruntime=23678051255, deadline=23678070005, burst_ns=272789 comm=cpuChild
[  144.968692] SCHED_LOG: pid=2370, nice=10, vruntime=23673471078, deadline=23673495271, burst_ns=829168 comm=cpuChild
[  144.968924] SCHED_LOG: pid=2370, nice=10, vruntime=23675479281, deadline=23675503474, burst_ns=215725 comm=cpuChild
[  144.969143] SCHED_LOG: pid=2370, nice=10, vruntime=23677394868, deadline=23677419061, burst_ns=205776 comm=cpuChild
[  144.969331] SCHED_LOG: pid=2370, nice=10, vruntime=23679026295, deadline=23679050488, burst_ns=175251 comm=cpuChild
[  144.969497] SCHED_LOG: pid=2369, nice=19, vruntime=23688457347, deadline=23688476097, burst_ns=152433 comm=cpuChild
[  144.969674] SCHED_LOG: pid=2370, nice=10, vruntime=23680555005, deadline=23680579198, burst_ns=164217 comm=cpuChild
[  144.969890] SCHED_LOG: pid=2370, nice=10, vruntime=23682445523, deadline=23682469716, burst_ns=203083 comm=cpuChild
[  144.970076] SCHED_LOG: pid=2370, nice=10, vruntime=23684063256, deadline=23684087449, burst_ns=173780 comm=cpuChild
[  144.970272] SCHED_LOG: pid=2370, nice=10, vruntime=23685764101, deadline=23685788294, burst_ns=182708 comm=cpuChild
[  144.970370] SCHED_LOG: pid=2370, nice=10, vruntime=23686550691, deadline=23686574884, burst_ns=84497 comm=cpuChild
[  144.970485] SCHED_LOG: pid=2370, nice=10, vruntime=23687261998, deadline=23687286191, burst_ns=76410 comm=cpuChild
[  144.970572] SCHED_LOG: pid=2370, nice=10, vruntime=23687953533, deadline=23687977726, burst_ns=74286 comm=cpuChild
[  144.970659] SCHED_LOG: pid=2370, nice=10, vruntime=23688642647, deadline=23688666840, burst_ns=74026 comm=cpuChild
[  144.970851] SCHED_LOG: pid=2369, nice=19, vruntime=23700716538, deadline=23700735288, burst_ns=179578 comm=cpuChild
[  144.971028] SCHED_LOG: pid=2370, nice=10, vruntime=23690157375, deadline=23690181568, burst_ns=162715 comm=cpuChild
[  144.971248] SCHED_LOG: pid=2370, nice=10, vruntime=23692078808, deadline=23692103001, burst_ns=206404 comm=cpuChild
[  144.971423] SCHED_LOG: pid=2370, nice=10, vruntime=23693587606, deadline=23693611799, burst_ns=162078 comm=cpuChild
[  144.971599] SCHED_LOG: pid=2370, nice=10, vruntime=23695104326, deadline=23695128519, burst_ns=162929 comm=cpuChild
[  144.971704] SCHED_LOG: pid=2370, nice=10, vruntime=23695960892, deadline=23695985085, burst_ns=92014 comm=cpuChild
[  144.971804] SCHED_LOG: pid=2370, nice=10, vruntime=23696771471, deadline=23696795664, burst_ns=87074 comm=cpuChild
[  144.972005] SCHED_LOG: pid=2370, nice=10, vruntime=23698507895, deadline=23698532088, burst_ns=186530 comm=cpuChild
[  144.972393] SCHED_LOG: pid=2370, nice=10, vruntime=23702008690, deadline=23702032883, burst_ns=376062 comm=cpuChild
[  144.972598] SCHED_LOG: pid=2369, nice=19, vruntime=23713700994, deadline=23713719744, burst_ns=190202 comm=cpuChild
[  144.972772] SCHED_LOG: pid=2370, nice=10, vruntime=23703495891, deadline=23703520084, burst_ns=159758 comm=cpuChild
[  144.972963] SCHED_LOG: pid=2370, nice=10, vruntime=23705156241, deadline=23705180434, burst_ns=178358 comm=cpuChild
[  144.973180] SCHED_LOG: pid=2370, nice=10, vruntime=23707054113, deadline=23707078306, burst_ns=203873 comm=cpuChild
[  144.973362] SCHED_LOG: pid=2370, nice=10, vruntime=23708620805, deadline=23708644998, burst_ns=168297 comm=cpuChild
[  144.973544] SCHED_LOG: pid=2370, nice=10, vruntime=23710191434, deadline=23710215627, burst_ns=168720 comm=cpuChild
[  144.973703] SCHED_LOG: pid=2370, nice=10, vruntime=23711551985, deadline=23711576178, burst_ns=146153 comm=cpuChild
[  144.973807] SCHED_LOG: pid=2370, nice=10, vruntime=23712384711, deadline=23712408904, burst_ns=89453 comm=cpuChild
[  144.973895] SCHED_LOG: pid=2370, nice=10, vruntime=23713084186, deadline=23713108379, burst_ns=75139 comm=cpuChild
[  144.973983] SCHED_LOG: pid=2370, nice=10, vruntime=23713780459, deadline=23713804652, burst_ns=74795 comm=cpuChild
[  144.974070] SCHED_LOG: pid=2369, nice=19, vruntime=23718754433, deadline=23718773183, burst_ns=74025 comm=cpuChild
[  144.974265] SCHED_LOG: pid=2370, nice=10, vruntime=23715464082, deadline=23715488275, burst_ns=180858 comm=cpuChild
[  144.974441] SCHED_LOG: pid=2370, nice=10, vruntime=23716974677, deadline=23716998870, burst_ns=162271 comm=cpuChild
[  144.974638] SCHED_LOG: pid=2370, nice=10, vruntime=23718676174, deadline=23718700367, burst_ns=182778 comm=cpuChild
[  144.974812] SCHED_LOG: pid=2370, nice=10, vruntime=23720167360, deadline=23720191553, burst_ns=160186 comm=cpuChild
[  144.974998] SCHED_LOG: pid=2369, nice=19, vruntime=23730452813, deadline=23730471563, burst_ns=171363 comm=cpuChild
[  144.975099] SCHED_LOG: pid=2370, nice=10, vruntime=23720980602, deadline=23721004795, burst_ns=87360 comm=cpuChild
[  144.975186] SCHED_LOG: pid=2370, nice=10, vruntime=23721676586, deadline=23721700779, burst_ns=74764 comm=cpuChild
[  144.975367] SCHED_LOG: pid=2370, nice=10, vruntime=23723239638, deadline=23723263831, burst_ns=167906 comm=cpuChild
[  144.975540] SCHED_LOG: pid=2370, nice=10, vruntime=23724727146, deadline=23724751339, burst_ns=159791 comm=cpuChild
[  144.975729] SCHED_LOG: pid=2370, nice=10, vruntime=23726356981, deadline=23726381174, burst_ns=175080 comm=cpuChild
[  144.975909] SCHED_LOG: pid=2370, nice=10, vruntime=23727905427, deadline=23727929620, burst_ns=166337 comm=cpuChild
[  144.976064] SCHED_LOG: pid=2370, nice=10, vruntime=23729214293, deadline=23729238486, burst_ns=140601 comm=cpuChild
[  144.976306] SCHED_LOG: pid=2370, nice=10, vruntime=23731106700, deadline=23731130893, burst_ns=203286 comm=cpuChild
[  144.976591] SCHED_LOG: pid=2369, nice=19, vruntime=23748922427, deadline=23748941177, burst_ns=270551 comm=cpuChild
[  144.976802] SCHED_LOG: pid=2370, nice=10, vruntime=23732931952, deadline=23732956145, burst_ns=196072 comm=cpuChild
[  144.976997] SCHED_LOG: pid=2370, nice=10, vruntime=23734611581, deadline=23734635774, burst_ns=180429 comm=cpuChild
[  144.977094] SCHED_LOG: pid=2370, nice=10, vruntime=23735386218, deadline=23735410411, burst_ns=83213 comm=cpuChild
[  144.977183] SCHED_LOG: pid=2370, nice=10, vruntime=23736091670, deadline=23736115863, burst_ns=75781 comm=cpuChild
[  144.977270] SCHED_LOG: pid=2370, nice=10, vruntime=23736786891, deadline=23736811084, burst_ns=74682 comm=cpuChild
